Name,Slug,Type,Date to display,Tl;dr,Description,Partnership,Solo or agency,Estimated time spent,Live Link,Tags
Cloud Governance: An AWS IAM Case Study,cloud-governance,Blog,2024-11-06,Exploring the strategic power of Identity and Access Management through a practical AWS case study.,Governance Risk and Compliance (GRC) is often the hidden gem of cybersecurity. This case study explores how AWS Identity and Access Management (IAM) serves as a cornerstone for robust cloud governance.,None,Solo,N/A,https://medium.com/@dotcipher/unlock-the-power-of-cloud-governance-aws-iam-case-study-88fd2ce5e043,aws iam cloud-governance grc
Predicting Fraudsters: A DoorDash Case Study,predicting-fraudsters,Blog,2025-03-10,How machine learning transforms fraud detection from manual chats into scalable real-time automated decisions.,For high-volume platforms like DoorDash manual intervention for every refund request is impossible. This is where machine learning bridges the gap between theoretical prediction and practical scalable solutions.,None,Solo,N/A,https://medium.com/@dotcipher/unlock-the-power-of-cloud-governance-aws-iam-case-study-88fd2ce5e043,machine-learning fraud-detection doordash
The Secret Language of Secure APIs: JWE and JWS,jwt-jws,Blog,2025-04-23,A deep dive into the cryptographic pillars of API security: understanding the CIA Triad and the technical distinction between JSON Web Signatures and Encryption.,Understanding how Confidentiality Integrity and Authentication interact is essential for any engineer designing robust systems. This article explores JWS and JWE standards.,None,Solo,N/A,https://medium.com/@dotcipher/unlock-the-power-of-cloud-governance-aws-iam-case-study-88fd2ce5e043,cryptography api-security jwe jws
Everything You Should Know About Mutual TLS,mtls,Blog,2025-06-03,A comprehensive guide to understanding Public Key Infrastructure (PKI) the mechanics of TLS handshakes and the robust security of Mutual TLS (mTLS).,Mutual TLS takes standard security a step further. It's like a high-security building where both parties must prove their identity before communication begins.,None,Solo,N/A,https://medium.com/@dotcipher/everything-you-should-now-about-mutual-tls-b5da83569031,mtls pki tls security
What is Tokenization and Why Should You Care?,whats-tokenization,Blog,2025-07-15,A deep dive into how tokenization secures sensitive data like PII and credit cards by replacing value with placeholders.,Tokenization is a cornerstone of modern data security. Unlike encryption it replaces sensitive data with a valueless placeholder essential for securing payments and protecting personal info.,None,Solo,N/A,https://medium.com/@dotcipher/unlock-the-power-of-cloud-governance-aws-iam-case-study-88fd2ce5e043,tokenization data-security pci-dss
The Modern Playbook for Data Protection: Lessons from PCI DSS v4.0,data-protection,Blog,2025-08-20,Moving beyond the compliance checklist to a risk-based proactive strategy for protecting data at rest in transit and across APIs.,PCI DSS v4.0 marks a fundamental shift from reactive compliance to a proactive outcome-focused philosophy for cloud-native and API-driven environments.,None,Solo,N/A,https://medium.com/@dotcipher/unlock-the-power-of-cloud-governance-aws-iam-case-study-88fd2ce5e043,pci-dss data-protection compliance
A Practical GDPR Playbook for Engineers,gdpr-playbook,Blog,2025-08-26,Translating the GDPR maze into a system design problem: roles encryption and telemetry for the modern developer.,Most engineering teams treat GDPR like a compliance ritual. However at its core the regulation is a system design problem that can be solved with encryption pipelines and logging.,None,Solo,N/A,https://medium.com/@dotcipher/unlock-the-power-of-cloud-governance-aws-iam-case-study-88fd2ce5e043,gdpr privacy compliance
Jargon-Free Guide to Security Compliance,guide-security-compliance,Blog,2025-08-28,Untangling the alphabet soup of PCI GDPR and HIPAA to understand the blueprint for your organization's digital house.,Security compliance often feels like an exclusive club with a secret language. But strip away the acronyms and it's actually quite simple: Compliance is just a set of building codes for your digital house.,None,Solo,N/A,https://medium.com/@dotcipher/unlock-the-power-of-cloud-governance-aws-iam-case-study-88fd2ce5e043,compliance pci gdpr hipaa
Practical Guide to ISO 27001:2022 Certification and Beyond,guide-iso27001,Blog,2025-08-31,A structured roadmap to navigating the gold standard of information security management without getting lost in technical jargon.,ISO/IEC 27001:2022 is the international gold standard for managing information security risks through an Information Security Management System (ISMS).,None,Solo,N/A,https://medium.com/@dotcipher/unlock-the-power-of-cloud-governance-aws-iam-case-study-88fd2ce5e043,iso27001 isms certification
SOC Reports Demystified: Types Criteria and Audit Roadmap,soc-report-demystified,Blog,2025-09-07,A comprehensive guide to understanding SOC audit reports from the Trust Services Criteria to navigating the journey from Type 1 to Type 2.,SOC reports unlock enterprise deals and reassure customers that security is a business priority. This guide explains the types criteria and audit roadmap.,None,Solo,N/A,https://medium.com/@dotcipher/unlock-the-power-of-cloud-governance-aws-iam-case-study-88fd2ce5e043,soc-reports audit compliance
My Take on Matt Pocock's Talk: Why Software Fundamentals Matter More Than Ever,take-on-matt-pocock-talk,Blog,2026-04-24,A reflection on the enduring importance of clean design deep modules and testability in the age of AI-driven development.,AI isn't a paradigm shift that makes engineering obsolete; it is a tool that amplifies your existing engineering practices—for better or worse.,None,Solo,N/A,https://www.youtube.com/watch?v=0L_jNOCLxS0,software-engineering ai fundamentals
Veeto,veeto,Work,2025-06-30,A powerful encryption and decryption service designed to streamline cryptographic operations for Visa and Mastercard payment workflows using JWE standards.,Veeto is a specialized encryption and decryption service designed to streamline cryptographic operations for Visa and Mastercard payment workflows.,None,Contract,8 weeks,https://github.com/Wiran-Larbi/veto-service,cryptography aws payment-systems tokenization
InCharted API,incharted,Work,2025-10-27,A high-performance REST API for real-time programmatic data visualization offering 11+ chart types and multi-format exports for developers and SaaS platforms.,InCharted is a robust API solution built to eliminate the friction of generating professional-grade charts programmatically.,None,Solo,4 weeks,https://rapidapi.com/WiranLarbi/api/incharted,rest-api datavisualization golang rapidapi
SecOraPrep,secoraprep,Work,2026-04-27,A high-end cybersecurity certification platform focused on advanced GRC SOC and Security Engineering training through hands-on labs and AI mentorship.,SecOraPrep is an elite certification preparation and exam voucher platform bridging the gap between theory and practice.,None,Solo,6 months,https://www.secoraprep.com,certification-prep grc hands-on-labs ai-mentor
SecOraPrep Affiliate,secoraprep-affiliate,Work,2026-04-27,A specialized affiliate management platform designed to scale the SecOraPrep ecosystem through real-time analytics and automated partner workflows.,SecOraPrep Affiliate is the dedicated management engine powering the referral ecosystem for the SecOraPrep cybersecurity platform.,SecOraPrep,Solo,12 weeks,https://affiliate.secoraprep.com,next-js-15 postgresql prisma affiliate-marketing
